,id,date,date_line
142,143,2020-06-11,"THU, JUN 11"
143,144,2020-06-12,"FRI, JUN 12"
144,145,2020-06-13,"SAT, JUN 13"
145,146,2020-06-14,"SUN, JUN 14"
146,147,2020-06-15,"MON, JUN 15"
147,148,2020-06-16,"TUE, JUN 16"
148,149,2020-06-17,"WED, JUN 17"
149,150,2020-06-18,"THU, JUN 18"
150,151,2020-06-19,"FRI, JUN 19"
151,152,2020-06-20,"SAT, JUN 20"
152,153,2020-06-21,"SUN, JUN 21"
153,154,2020-06-22,"MON, JUN 22"
154,155,2020-06-23,"TUE, JUN 23"
155,156,2020-06-24,"WED, JUN 24"
156,157,2020-06-25,"THU, JUN 25"
157,158,2020-06-26,"FRI, JUN 26"
158,159,2020-06-27,"SAT, JUN 27"
159,160,2020-06-28,"SUN, JUN 28"
160,161,2020-06-29,"MON, JUN 29"
161,162,2020-06-30,"TUE, JUN 30"
162,163,2020-07-01,"WED, JUL 1"
163,164,2020-07-02,"THU, JUL 2"
164,165,2020-07-03,"FRI, JUL 3"
165,166,2020-07-04,"SAT, JUL 4"
166,167,2020-07-05,"SUN, JUL 5"
167,168,2020-07-06,"MON, JUL 6"
168,169,2020-07-07,"TUE, JUL 7"
169,170,2020-07-08,"WED, JUL 8"
170,171,2020-07-09,"THU, JUL 9"
171,172,2020-07-10,"FRI, JUL 10"
172,173,2020-07-11,"SAT, JUL 11"
173,174,2020-07-12,"SUN, JUL 12"
174,175,2020-07-13,"MON, JUL 13"
175,176,2020-07-14,"TUE, JUL 14"
176,177,2020-07-15,"WED, JUL 15"
177,178,2020-07-16,"THU, JUL 16"
178,179,2020-07-17,"FRI, JUL 17"
179,180,2020-07-18,"SAT, JUL 18"
180,181,2020-07-19,"SUN, JUL 19"
181,182,2020-07-20,"MON, JUL 20"
182,183,2020-07-21,"TUE, JUL 21"
183,184,2020-07-22,"WED, JUL 22"
184,185,2020-07-23,"THU, JUL 23"
185,186,2020-07-24,"FRI, JUL 24"
186,187,2020-07-25,"SAT, JUL 25"
187,188,2020-07-26,"SUN, JUL 26"
188,189,2020-07-27,"MON, JUL 27"
189,190,2020-07-28,"TUE, JUL 28"
190,191,2020-07-29,"WED, JUL 29"
191,192,2020-07-30,"THU, JUL 30"
192,193,2020-07-31,"FRI, JUL 31"
193,194,2020-08-01,"SAT, AUG 1"
194,195,2020-08-02,"SUN, AUG 2"
195,196,2020-08-03,"MON, AUG 3"
196,197,2020-08-04,"TUE, AUG 4"
197,198,2020-08-05,"WED, AUG 5"
198,199,2020-08-06,"THU, AUG 6"
199,200,2020-08-07,"FRI, AUG 7"
200,201,2020-08-08,"SAT, AUG 8"
201,202,2020-08-09,"SUN, AUG 9"
202,203,2020-08-10,"MON, AUG 10"
203,204,2020-08-11,"TUE, AUG 11"
204,205,2020-08-12,"WED, AUG 12"
205,206,2020-08-13,"THU, AUG 13"
206,207,2020-08-14,"FRI, AUG 14"
207,208,2020-08-15,"SAT, AUG 15"
208,209,2020-08-16,"SUN, AUG 16"
209,210,2020-08-17,"MON, AUG 17"
210,211,2020-08-18,"TUE, AUG 18"
211,212,2020-08-19,"WED, AUG 19"
212,213,2020-08-20,"THU, AUG 20"
213,214,2020-08-21,"FRI, AUG 21"
214,215,2020-08-22,"SAT, AUG 22"
215,216,2020-08-23,"SUN, AUG 23"
216,217,2020-08-24,"MON, AUG 24"
217,218,2020-08-25,"TUE, AUG 25"
218,219,2020-08-26,"WED, AUG 26"
219,220,2020-08-27,"THU, AUG 27"
220,221,2020-08-28,"FRI, AUG 28"
221,222,2020-08-29,"SAT, AUG 29"
222,223,2020-08-30,"SUN, AUG 30"
223,224,2020-08-31,"MON, AUG 31"
224,225,2020-09-01,"TUE, SEP 1"
225,226,2020-09-02,"WED, SEP 2"
226,227,2020-09-03,"THU, SEP 3"
227,228,2020-09-04,"FRI, SEP 4"
228,229,2020-09-05,"SAT, SEP 5"
229,230,2020-09-06,"SUN, SEP 6"
230,231,2020-09-07,"MON, SEP 7"
231,232,2020-09-08,"TUE, SEP 8"
232,233,2020-09-09,"WED, SEP 9"
233,234,2020-09-10,"THU, SEP 10"
234,235,2020-09-11,"FRI, SEP 11"
235,236,2020-09-12,"SAT, SEP 12"
236,237,2020-09-13,"SUN, SEP 13"
237,238,2020-09-14,"MON, SEP 14"
238,239,2020-09-15,"TUE, SEP 15"
239,240,2020-09-16,"WED, SEP 16"
240,241,2020-09-17,"THU, SEP 17"
241,242,2020-09-18,"FRI, SEP 18"
242,243,2020-09-19,"SAT, SEP 19"
243,244,2020-09-20,"SUN, SEP 20"
244,245,2020-09-21,"MON, SEP 21"
245,246,2020-09-22,"TUE, SEP 22"
246,247,2020-09-23,"WED, SEP 23"
247,248,2020-09-24,"THU, SEP 24"
248,249,2020-09-25,"FRI, SEP 25"
249,250,2020-09-26,"SAT, SEP 26"
250,251,2020-09-27,"SUN, SEP 27"
251,252,2020-09-28,"MON, SEP 28"
252,253,2020-09-29,"TUE, SEP 29"
253,254,2020-09-30,"WED, SEP 30"
254,255,2020-10-01,"THU, OCT 1"
255,256,2020-10-02,"FRI, OCT 2"
256,257,2020-10-03,"SAT, OCT 3"
257,258,2020-10-04,"SUN, OCT 4"
258,259,2020-10-05,"MON, OCT 5"
259,260,2020-10-06,"TUE, OCT 6"
260,261,2020-10-07,"WED, OCT 7"
261,262,2020-10-08,"THU, OCT 8"
262,263,2020-10-09,"FRI, OCT 9"
263,264,2020-10-10,"SAT, OCT 10"
264,265,2020-10-11,"SUN, OCT 11"
265,266,2020-10-12,"MON, OCT 12"
266,267,2020-10-13,"TUE, OCT 13"
267,268,2020-10-14,"WED, OCT 14"
268,269,2020-10-15,"THU, OCT 15"
269,270,2020-10-16,"FRI, OCT 16"
270,271,2020-10-17,"SAT, OCT 17"
271,272,2020-10-18,"SUN, OCT 18"
272,273,2020-10-19,"MON, OCT 19"
273,274,2020-10-20,"TUE, OCT 20"
274,275,2020-10-21,"WED, OCT 21"
275,276,2020-10-22,"THU, OCT 22"
276,277,2020-10-23,"FRI, OCT 23"
277,278,2020-10-24,"SAT, OCT 24"
278,279,2020-10-25,"SUN, OCT 25"
279,280,2020-10-26,"MON, OCT 26"
280,281,2020-10-27,"TUE, OCT 27"
281,282,2020-10-28,"WED, OCT 28"
282,283,2020-10-29,"THU, OCT 29"
283,284,2020-10-30,"FRI, OCT 30"
284,285,2020-10-31,"SAT, OCT 31"
285,286,2020-11-01,"SUN, NOV 1"
286,287,2020-11-02,"MON, NOV 2"
287,288,2020-11-03,"TUE, NOV 3"
288,289,2020-11-04,"WED, NOV 4"
289,290,2020-11-05,"THU, NOV 5"
290,291,2020-11-06,"FRI, NOV 6"
291,292,2020-11-07,"SAT, NOV 7"
292,293,2020-11-08,"SUN, NOV 8"
293,294,2020-11-09,"MON, NOV 9"
294,295,2020-11-10,"TUE, NOV 10"
295,296,2020-11-11,"WED, NOV 11"
296,297,2020-11-12,"THU, NOV 12"
297,298,2020-11-13,"FRI, NOV 13"
298,299,2020-11-14,"SAT, NOV 14"
299,300,2020-11-15,"SUN, NOV 15"
300,301,2020-11-16,"MON, NOV 16"
301,302,2020-11-17,"TUE, NOV 17"
302,303,2020-11-18,"WED, NOV 18"
303,304,2020-11-19,"THU, NOV 19"
304,305,2020-11-20,"FRI, NOV 20"
305,306,2020-11-21,"SAT, NOV 21"
306,307,2020-11-22,"SUN, NOV 22"
307,308,2020-11-23,"MON, NOV 23"
308,309,2020-11-24,"TUE, NOV 24"
309,310,2020-11-25,"WED, NOV 25"
310,311,2020-11-26,"THU, NOV 26"
311,312,2020-11-27,"FRI, NOV 27"
312,313,2020-11-28,"SAT, NOV 28"
313,314,2020-11-29,"SUN, NOV 29"
314,315,2020-11-30,"MON, NOV 30"
315,316,2020-12-01,"TUE, DEC 1"
316,317,2020-12-02,"WED, DEC 2"
317,318,2020-12-03,"THU, DEC 3"
318,319,2020-12-04,"FRI, DEC 4"
319,320,2020-12-05,"SAT, DEC 5"
320,321,2020-12-06,"SUN, DEC 6"
321,322,2020-12-07,"MON, DEC 7"
322,323,2020-12-08,"TUE, DEC 8"
323,324,2020-12-09,"WED, DEC 9"
324,325,2020-12-10,"THU, DEC 10"
325,326,2020-12-11,"FRI, DEC 11"
326,327,2020-12-12,"SAT, DEC 12"
327,328,2020-12-13,"SUN, DEC 13"
328,329,2020-12-14,"MON, DEC 14"
329,330,2020-12-15,"TUE, DEC 15"
330,331,2020-12-16,"WED, DEC 16"
331,332,2020-12-17,"THU, DEC 17"
332,333,2020-12-18,"FRI, DEC 18"
333,334,2020-12-19,"SAT, DEC 19"
334,335,2020-12-20,"SUN, DEC 20"
335,336,2020-12-21,"MON, DEC 21"
336,337,2020-12-22,"TUE, DEC 22"
337,338,2020-12-23,"WED, DEC 23"
338,339,2020-12-24,"THU, DEC 24"
339,340,2020-12-25,"FRI, DEC 25"
340,341,2020-12-26,"SAT, DEC 26"
341,342,2020-12-27,"SUN, DEC 27"
342,343,2020-12-28,"MON, DEC 28"
